id_proposicao,id_votacao,id_deputado,voto,partido
14493,56322025,178957,0,PDT
14493,56322025,141417,1,MDB
14493,56322025,178958,1,PHS
14493,56322025,178959,1,PMN
14493,56322025,160531,1,PRB
14493,56322025,64960,0,PSB
14493,56322025,178960,1,PL
14493,56322025,178961,1,PSDB
14493,56322025,178831,1,PRB
14493,56322025,73926,0,PSB
14493,56322025,178851,1,PTB
14493,56322025,178852,1,PSC
14493,56322025,105112,1,MDB
14493,56322025,160641,-1,PT
14493,56322025,160591,1,PL
14493,56322025,178995,0,PDT
14493,56322025,160602,-1,CIDADANIA
14493,56322025,141335,-1,PT
14493,56322025,178906,-1,PROS
14493,56322025,74075,0,MDB
14493,56322025,178908,1,PSD
14493,56322025,73930,1,SOLIDARIEDADE
14493,56322025,73931,-1,PT
14493,56322025,74079,1,MDB
14493,56322025,134812,-1,PSOL
14493,56322025,178907,1,PSD
14493,56322025,141484,1,PL
14493,56322025,74351,1,PTB
14493,56322025,74352,1,PSDB
14493,56322025,178909,1,DEM
14493,56322025,178910,1,PSD
14493,56322025,67312,1,PSC
14493,56322025,178911,-1,MDB
14493,56322025,178846,1,PL
14493,56322025,178847,1,PSDB
14493,56322025,74090,1,PSD
14493,56322025,74356,1,PSD
14493,56322025,74095,1,DEM
14493,56322025,178848,1,PP
14493,56322025,178849,-1,CIDADANIA
14493,56322025,178850,1,MDB
14493,56322025,178953,1,SOLIDARIEDADE
14493,56322025,141483,1,MDB
14493,56322025,178954,1,MDB
14493,56322025,74359,1,PTB
14493,56322025,74177,-1,MDB
14493,56322025,178955,1,PL
14493,56322025,167722,1,PDT
14493,56322025,178956,1,PSDB
14493,56322025,178837,-1,PT
14493,56322025,178836,1,PRB
14493,56322025,141434,0,MDB
14493,56322025,178838,0,PSB
14493,56322025,178839,1,MDB
14493,56322025,178825,-1,PT
14493,56322025,160613,-1,PT
14493,56322025,178840,1,PSDB
14493,56322025,178993,1,MDB
14493,56322025,178994,1,MDB
14493,56322025,114941,-1,MDB
14493,56322025,141480,1,PP
14493,56322025,160639,-1,DEM
14493,56322025,137070,1,PSB
14493,56322025,160576,1,PRB
14493,56322025,81232,1,PSD
14493,56322025,141408,1,PRB
