id_proposicao,id_votacao,id_deputado,voto,partido
18467,164112059,178957,-1,DEM
18467,164112059,141417,-1,PL
18467,164112059,178958,-1,PHS
18467,164112059,178959,0,PP
18467,164112059,160531,-1,PRB
18467,164112059,64960,-1,PSB
18467,164112059,178960,0,PL
18467,164112059,178961,-1,PSDB
18467,164112059,178831,-1,PP
18467,164112059,73926,1,PSB
18467,164112059,178851,0,PODEMOS
18467,164112059,178852,-1,PSD
18467,164112059,105112,-1,MDB
18467,164112059,160641,1,PCdoB
18467,164112059,160591,3,PL
18467,164112059,178995,1,PDT
18467,164112059,160602,1,CIDADANIA
18467,164112059,141335,1,PT
18467,164112059,178906,-1,PP
18467,164112059,74075,0,MDB
18467,164112059,178908,-1,PSD
18467,164112059,73930,-1,SOLIDARIEDADE
18467,164112059,73931,1,PT
18467,164112059,74079,-1,MDB
18467,164112059,134812,1,PSOL
18467,164112059,178907,0,PODEMOS
18467,164112059,141484,-1,PL
18467,164112059,74351,-1,PTB
18467,164112059,74352,0,PSDB
18467,164112059,178909,1,DEM
18467,164112059,178910,-1,PSD
18467,164112059,67312,-1,PSC
18467,164112059,178911,-1,MDB
18467,164112059,178846,0,PL
18467,164112059,74090,0,PSD
18467,164112059,74356,0,PRB
18467,164112059,74095,0,DEM
18467,164112059,178848,1,PP
18467,164112059,178849,0,PDT
18467,164112059,178953,1,PSD
18467,164112059,141483,0,PRB
18467,164112059,178954,-1,MDB
18467,164112059,74359,0,PTB
18467,164112059,74177,0,MDB
18467,164112059,178955,-1,PL
18467,164112059,167722,-1,DEM
18467,164112059,178956,-1,PSDB
18467,164112059,178837,1,PT
18467,164112059,178836,1,DEM
18467,164112059,141434,-1,MDB
18467,164112059,178838,0,PSB
18467,164112059,178839,0,MDB
18467,164112059,178825,1,PT
18467,164112059,178840,-1,PSDB
18467,164112059,178993,-1,PODEMOS
18467,164112059,178994,0,MDB
18467,164112059,114941,0,MDB
18467,164112059,141480,-1,PP
18467,164112059,160639,0,DEM
18467,164112059,137070,-1,PL
18467,164112059,160576,0,PRB
18467,164112059,81232,-1,PSD
18467,164112059,141408,0,PRB
18467,164112059,74449,-1,PTB
18467,164112059,141558,1,AVANTE
18467,164112059,167493,0,PDT
18467,164112059,178881,1,PODEMOS
18467,164112059,178882,0,PP
18467,164112059,178883,0,CIDADANIA
18467,164112059,178884,-1,MDB
18467,164112059,112437,-1,MDB
18467,164112059,73714,-1,PSB
18467,164112059,178885,-1,PEN
18467,164112059,178886,0,DEM
18467,164112059,178887,0,PCdoB
18467,164112059,178888,0,PSD
18467,164112059,178889,1,PT
18467,164112059,133439,1,PDT
18467,164112059,74212,0,MDB
18467,164112059,141440,1,PCdoB
18467,164112059,62881,0,SPART
18467,164112059,143632,-1,PSD
18467,164112059,160669,-1,SOLIDARIEDADE
18467,164112059,129618,0,PL
18467,164112059,141464,1,PT
18467,164112059,141470,1,PT
18467,164112059,74216,0,PSDB
18467,164112059,178864,0,PP
18467,164112059,178865,-1,PL
18467,164112059,74299,1,PDT
18467,164112059,178866,1,PT
18467,164112059,178867,-1,PP
18467,164112059,178997,-1,MDB
18467,164112059,178868,0,PSB
18467,164112059,122466,0,PRB
18467,164112059,178869,0,MDB
18467,164112059,159237,0,PT
18467,164112059,74459,-1,PSB
18467,164112059,67138,0,PP
18467,164112059,74317,0,PSD
18467,164112059,74460,0,MDB
18467,164112059,74319,-1,PTB
18467,164112059,97707,-1,PSB
18467,164112059,178926,0,PSB
18467,164112059,141428,-1,PSD
18467,164112059,141429,-1,DEM
18467,164112059,141535,-1,PSDB
18467,164112059,178950,1,PODEMOS
18467,164112059,178948,0,PP
18467,164112059,178951,1,PSB
18467,164112059,178952,0,MDB
18467,164112059,178949,0,PL
18467,164112059,160527,0,PP
18467,164112059,74040,-1,SOLIDARIEDADE
18467,164112059,74467,1,PDT
18467,164112059,141422,0,DEM
18467,164112059,160674,0,MDB
18467,164112059,74041,1,PT
18467,164112059,74043,-1,PL
18467,164112059,160636,0,PTB
18467,164112059,178912,-1,PSDB
18467,164112059,141536,0,PSD
18467,164112059,178913,1,MDB
18467,164112059,74471,-1,PSD
18467,164112059,141394,0,PSDB
18467,164112059,160528,-1,PSB
18467,164112059,141421,-1,PP
18467,164112059,74419,-1,PSB
18467,164112059,131943,-1,MDB
18467,164112059,160572,-1,PTB
18467,164112059,160628,0,PCdoB
18467,164112059,160642,-1,PHS
18467,164112059,4930,-1,AVANTE
18467,164112059,74439,1,PDT
18467,164112059,178914,-1,AVANTE
18467,164112059,178915,-1,PSDB
18467,164112059,178916,-1,PSDB
18467,164112059,178917,-1,PSB
18467,164112059,178919,0,PSB
18467,164112059,178920,0,PODEMOS
18467,164112059,178922,-1,PSB
18467,164112059,178923,-1,PTB
18467,164112059,160541,0,PP
18467,164112059,74558,-1,PHS
18467,164112059,171617,0,PT
18467,164112059,178841,-1,PODEMOS
18467,164112059,178842,-1,PSB
18467,164112059,178844,-1,PSDB
18467,164112059,178845,1,PDT
18467,164112059,160543,0,PSC
18467,164112059,171623,-1,MDB
18467,164112059,151208,0,SOLIDARIEDADE
18467,164112059,141384,0,PSB
18467,164112059,178968,-1,PL
18467,164112059,178969,-1,PSD
